model,scheme,macro_f1,macro_f1_std,critical_recall,critical_recall_std,accuracy,balanced_accuracy,fraud_leak_rate,fit_seconds,predict_seconds,leakage_rows,parse_failures,parse_failure_rate
embedding_logreg,grouped,0.9714073541459672,0.03807062193632104,0.945,0.10990426455975696,0.9794043014533521,0.9739584418570253,0.05499999999999999,0.6095536916967831,0.00409744160133414,0,0,0.0
embedding_lightgbm,grouped,0.888963982740606,0.05889167381869268,0.765,0.16311119875071342,0.9074314345991562,0.8867407710884943,0.23500000000000001,1.6392338625519187,0.001489743850834202,0,0,0.0
linear_svc,grouped,0.8285105167017971,0.08974082224478823,0.8100000000000002,0.24899799195977465,0.845776293170808,0.8445747718622355,0.19,0.031112704251427203,0.004355566645972431,0,0,0.0
ridge,grouped,0.8190643776341651,0.08842658217593904,0.8150000000000002,0.24767338424456897,0.8357757071417409,0.8376345097175439,0.18500000000000003,0.023932462598895653,0.004120006102311891,0,0,0.0
logistic_regression,grouped,0.8083862462446231,0.08828956470968231,0.78,0.2627786741327145,0.8296036490076574,0.8248597925916006,0.21999999999999997,0.13399120624962962,0.004562114497821313,0,0,0.0
passive_aggressive,grouped,0.7903631835245478,0.10274764488718209,0.79,0.2531901719220056,0.8127668385685263,0.8099113530882075,0.20999999999999996,0.02981904170155758,0.00431560835277196,0,0,0.0
bernoulli_nb,grouped,0.7692479250482454,0.10776905560784251,0.6299999999999999,0.348077426353451,0.8195407485544617,0.7718658414515674,0.37,0.0038234667488723064,0.0010022291520726868,0,0,0.0
llm_zero_shot,grouped,0.7620775346928232,0.08645951865562816,0.8400000000000001,0.13138933706635725,0.7278377480856384,0.8010664376525165,0.16,3.1191650487016885e-05,1.9532290292030665,0,0,0.0
random_forest,grouped,0.7614421232781314,0.10613698649786378,0.795,0.2438183102661747,0.8013130957962182,0.7740725325700327,0.205,0.38702705834730294,0.050872947950847444,0,0,0.0
sgd,grouped,0.7352535342384183,0.12545705938691987,0.8400000000000001,0.20104987598001384,0.7555125800906392,0.7682488478361967,0.16,0.02937862080289051,0.004339029201946687,0,0,0.0
extra_trees,grouped,0.7316262039543153,0.13733306735365314,0.775,0.28446625921465435,0.7857899671823722,0.754079482893829,0.225,0.23973620190372458,0.041986818848818074,0,0,0.0
llm_few_shot,grouped,0.7056730166155198,0.0956843089727603,0.925,0.10699237552766379,0.6792886583841226,0.7866156524926687,0.075,0.000548610498663038,8.862904827049352,0,21,0.013125
multinomial_nb,grouped,0.6956079320876565,0.10737180432853866,0.355,0.2799906013460189,0.7641539693702142,0.7012907959236325,0.645,0.003606929097441025,0.0008413417512201704,0,0,0.0
complement_nb,grouped,0.6880761582063966,0.13199929301595958,0.48,0.3349783967896877,0.7276186708860759,0.7063647397272435,0.52,0.0036450394967687317,0.0009157021064311266,0,0,0.0
xgboost,grouped,0.6789750337356747,0.08061815378342922,0.5449999999999998,0.2282081229238369,0.7189085208626348,0.6900054173576875,0.45500000000000007,1.7561822188523366,0.007150803998229094,0,0,0.0
catboost,grouped,0.6693316836576366,0.09028773425935911,0.57,0.24083189157584592,0.7087750039068605,0.6859059696510699,0.43000000000000005,0.9474451875023078,0.010555250103061553,0,0,0.0
lightgbm,grouped,0.6690386471220042,0.08309688864748596,0.5450000000000002,0.2394621165511528,0.707712533208314,0.675719569137142,0.45499999999999996,3.648481947847176,0.007448764651780948,0,0,0.0
knn,grouped,0.6579788694279657,0.09081895035421729,0.5050000000000001,0.27429335045761344,0.7047495702453508,0.6674927177213814,0.495,0.01680951875023311,0.020443604099273215,0,0,0.0
decision_tree,grouped,0.5311391321539473,0.0967097476507687,0.845,0.21636956688426448,0.5774561454914829,0.5951045082365146,0.155,0.005889835346897599,0.000929614549386315,0,0,0.0
stratified_random,grouped,0.26186964175164096,0.043527364918399536,0.13,0.08013147091860319,0.2968982458196593,0.2629508178982222,0.8700000000000001,0.00010992280003847554,0.00018335209606448188,0,0,0.0
